National Center for Education Statistics - IPEDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nces.ed.gov/ipeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Chapman University,University of La Verne,Loyola Marymount University,University of San Diego,University of San Francisco,University of Denver,University of Connecticut,Georgetown University,Mercer University,DePaul University,Loyola University Chicago,Butler University,Suffolk University,Saint Louis University,Creighton University,Seton Hall University,Adelphi University,Hofstra University,Pace University,St. John's University-New York,Syracuse University,Duquesne University,Villanova University,Providence College,Seattle University,Marquette University
First to second year retention rates of first-time bachelor’s degree-seeking undergraduates: Students that started in Fall 2022 ,Full-time,Retention rates,90,76,88,90,80,88,91,97,83,87,84,88,76,89,92,85,83,83,77,80,91,86,95,91,85,91
First to second year retention rates of first-time bachelor’s degree-seeking undergraduates: Students that started in Fall 2022 ,Part-time,Retention rates,60,50,0,—,57,72,63,100,57,29,0,100,50,43,—,100,50,67,64,57,64,50,93,50,71,67
"Bachelor's degree graduation rates of full-time, first-time, bachelor's degree-seeking undergraduates within 4 years, 6 years, and 8 years: 2015 cohort",8-year,Graduation rate,80,71,79,80,76,77,84,96,74,71,72,82,61,80,79,72,72,70,60,70,83,78,91,89,75,82
"Bachelor's degree graduation rates of full-time, first-time, bachelor's degree-seeking undergraduates within 4 years, 6 years, and 8 years: 2015 cohort",6-year,Graduation rate,80,69,79,80,76,76,83,95,74,70,72,82,60,80,78,72,71,70,59,68,82,77,91,89,75,81
"Bachelor's degree graduation rates of full-time, first-time, bachelor's degree-seeking undergraduates within 4 years, 6 years, and 8 years: 2015 cohort",4-year,Graduation rate,72,60,72,67,68,67,72,90,63,58,65,75,47,73,70,66,62,60,46,52,72,67,88,85,65,64
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,Overall graduation rates,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,Total,80,65,80,82,71,78,84,94,73,70,77,80,60,80,81,72,69,67,61,69,81,76,92,88,73,80
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Men,77,59,78,78,67,73,80,93,68,65,75,80,58,75,76,66,66,65,56,65,79,69,92,88,71,75
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Women,83,71,81,84,74,83,87,95,78,74,78,80,62,83,84,77,71,69,64,71,84,79,93,87,75,85
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  American Indian or Alaska Native,—,—,—,—,67,67,100,—,67,100,67,50,50,80,67,—,100,55,80,55,58,0,100,100,100,80
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Asian,81,65,85,82,81,88,88,94,84,77,75,84,73,83,79,73,76,70,65,69,75,80,87,78,81,86
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Black or African American,83,55,70,68,63,75,73,91,71,59,59,67,52,53,77,61,52,54,48,59,82,48,95,71,69,68
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Hispanic or Latino,84,68,85,79,71,73,81,94,63,61,74,81,57,71,73,69,60,65,53,67,77,65,91,81,70,74
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Native Hawaiian or Other Pacific Islander,40,40,67,100,44,50,67,100,—,50,78,—,—,0,83,100,0,—,0,100,100,100,—,67,43,100
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  White,81,63,81,83,67,79,87,95,75,75,79,81,59,83,83,74,75,73,66,74,85,78,93,91,72,83
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Two or more races,79,81,79,79,66,75,79,92,61,69,77,72,54,61,68,69,74,50,59,64,71,64,100,80,73,68
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  Race/ethnicity unknown,79,43,—,86,83,68,91,97,58,58,82,80,68,71,100,65,73,61,60,65,81,50,82,83,83,75
"Graduation rates of full-time, first-time, degree/certificate-seeking undergraduates within 150% of normal time to program completion, by gender and race/ethnicity and transfer out-rate: 2017 cohort",Rate,  U.S. Nonresident,69,54,67,88,71,82,77,95,80,63,84,57,61,62,77,71,51,51,58,67,76,76,84,84,61,65
