"name","title","avg_hours_per_week","reportable_comp_org","reportable_comp_related","other_comp"
"MR ANTHONY STUBBLEFIELD","MEN'S HEAD BASKETBALL COACH",50,1528232,0,63273
"DR ROBERT MANUEL","PRESIDENT & TRUSTEE",50,1037912,0,146773
"MR DEWAYNE PEEVY","ATHLETICS DIRECTOR",50,586564,0,63273
"MS STEPHANIE SMITH","VP FOR HUMAN RESOURCES",50,547363,0,29862
"MR RICHARD BRUNO","WOMEN'S HEAD BASKETBALL COACH",50,542154,0,54980
"MS LINDA BLAKLEY","VP FOR MKTG. AND COMM. (THRU 6/30/23)",50,537438,0,22669
"MS SALMA GHANEM","PROVOST",50,524507,0,43160
"MS KATIE FRAUMANN","SR.VP FORADV.&EXT.RELA.(BEG 04/01/23)",50,483949,0,41658
"MS JENNIFER PEREA","DEAN, COLLEGE OF LAW",50,477257,0,9776
"MS SHERRI SIDLER","EXECUTIVE VP",50,476445,0,51336
"A GABRIEL ESTEBAN PHD","FORMER PRESIDENT & TRUSTEE",50,467168,0,47653
"MS SULIN BA","DEAN, DRIEHAUS COLLEGE OF BUSINESS",50,430034,0,42776
"MR JAMES SHILLING","PROFESSOR",50,424179,0,53719
"MS KATHY STIEBER","VP, GENERAL COUNSEL & SECRETARY",50,416201,0,42776
"MR SOUMITRA GHOSH","VP FOR ENROLLMENT MANAGEMENT",50,389906,0,54980
"MR HONGJUN YAN","PROFESSOR",50,387796,0,48882
"MS ELIZABETH F ORTIZ EDD","VP FOR INST.DIV.&EQUITY(THRU 6/30/23)",50,383612,0,17828
"MR GUILLERMO VASQUEZ DE VELASCO","DEAN, LA&S",50,379333,0,43160
"MR ST ARBIN SMITH","VP SI, CHIEF OF STAFF",50,368133,0,16308
"MR EUGENE ZDZIARSKI PHD","VP FOR STUDENT AFFAIRS",50,364350,0,54980
"MR ROBERT MCCORMICK","VP FOR INFORMATION SERVICES",50,356420,0,63273
"MS MISTY JOHANSON","DEAN, DRIEHAUS COLLEGE OF BUSINESS",50,309445,0,50656
"MR RICHARD WILTSE","VP FOR FACILITY OPERATIONS",50,302644,0,60340
"MS LUCIA DETTORI","INTERIM DEAN,COLL.OF COM.&DIGITAL",50,301576,0,47380
"MR BRIAN SULLIVAN","TREASURER",50,294776,0,52178
"MS STEPHANIE DANCE-BARNES","DEAN, COLLEGE OF SCIENCE AND HEALTH",50,293416,0,50090
"MS JO SMITH","CONTROLLER",50,240878,0,36885
"MR THOMAS DONLEY","INTERIM DEAN, DRIEHAUS CLG. OF BUS.",50,233157,0,33010
"MR DAVID MILLER","DEAN, COLLEGE OF COMPUTING & DIGITAL MEDIA",50,219754,0,31289
"MR DAVID AVDUL","INTERIM VP FOR HR (BEG. 7/1/24)",50,200514,0,26009
"REV GUILLERMO CAMPUZANO CM","SR.VP FOR MISSION&VALUES(THRU 2/1/24)",50,190820,0,52310
"MSLORAINE SMEDLEY","INTERIM VP FOR ADV. (THRU 8/5/23)",50,189276,0,34412
"MR JOSE PERALES","INT. VP FOR INST. DIV.&EQ.(BEG 07/01/24)",50,142795,0,20859
"MR MARK LABOE","INT. VP FOR MISSION&MIN.(BEG. 2/2/24)",50,139815,0,31171
"MS DOROTHY KOZLOWSKI","INTERIM DEAN, COLL. OF SCI. & HEALTH (THRU",50,124442,0,42248
"MS CRISTEL TURNER","VP FOR PR & COMMS. CBO",50,28283,0,843
"MS SASHA L GERRITSON","VICE CHAIR & TRUSTEE",1,0,0,0
"MR MICHAEL SCUDDER","VICE CHAIR & TRUSTEE",1,0,0,0
"MR GERALD ABEESON","CHAIR & TRUSTEE",1,0,0,0
"MR PETER C ARGIANAS","TRUSTEE",1,0,0,0
"MR MANUEL FAVELA","TRUSTEE",1,0,0,0
"MS JENNIFER A FORTNER","TRUSTEE",1,0,0,0
"MS JUDITH P GREFFIN","TRUSTEE",1,0,0,0
"MR ARISTOTLE P HALIKIAS","TRUSTEE",1,0,0,0
"MR HARRY J HARCZAK","TRUSTEE",1,0,0,0
"DR DONALD HELLER","TRUSTEE",1,0,0,0
"MR ROBERTO R HERENCIA","TRUSTEE",1,0,0,0
"MS STACY JANIAK","TRUSTEE",1,0,0,0
"MR KEVIN M KEELEY","TRUSTEE",1,0,0,0
"MS KAREN ATWOOD","TRUSTEE",1,0,0,0
"MR JOHN KERR","TRUSTEE",1,0,0,0
"MR DEMETRIOS G LOGOTHETIS","TRUSTEE",1,0,0,0
"REV JAMES J MAHER CM","TRUSTEE",1,0,0,0
"REV PATRICK J MCDEVITT CM","TRUSTEE",1,0,0,0
"MS CARLA R MICHELOTTI","TRUSTEE",1,0,0,0
"MR MALIK T MURRAY","TRUSTEE",1,0,0,0
"MS CLAIR O'GRADY","TRUSTEE",1,0,0,0
"MS HAYDEE OLINGER","TRUSTEE",1,0,0,0
"REV MARK S PRANAITIS CM","TRUSTEE",1,0,0,0
"DR ANNE M PRISCO","TRUSTEE",1,0,0,0
"SR BARBARA REID OP","TRUSTEE",1,0,0,0
"MS ANNA RICHO","TRUSTEE",1,0,0,0
"MR BERTRAM L SCOTT","TRUSTEE",1,0,0,0
"DR STEPHANIE D SHIPP","TRUSTEE (BEG 11/15/23)",1,0,0,0
"MR JOSEPH SKENDER","TRUSTEE",1,0,0,0
"MR LUCINO SOTELO","TRUSTEE (BEG 2/22/24)",1,0,0,0
"MS JENNIFER W STEANS","TRUSTEE",1,0,0,0
"MS DONNA THOMPSON","TRUSTEE",1,0,0,0
"MS DIA S WEIL","TRUSTEE",1,0,0,0
"MR DAVID L BOOTH","TRUSTEE (BEG. 2/22/24)",1,0,0,0
"MS RUTH WILLIAMS-BRINKLEY","TRUSTEE",1,0,0,0
"MR MICHAEL DE ANDA","TRUSTEE",1,0,0,0
"MS STEPHANIE BRYAN KANGAS","TRUSTEE",1,0,0,0
"MR MICHAEL CANNING","TRUSTEE",1,0,0,0
"MR TIMOTHY S CRANE","TRUSTEE",1,0,0,0
"MR SEBASTIAN S CUALOPING","TRUSTEE",1,0,0,0
"MS THERESE FAUERBACH","TRUSTEE",1,0,0,0
"REV DENNIS HOLTSCHNEIDER CM","CHANCELLOR",1,0,0,0
