Metric,School,Value,Rank,Type
Tuition % of core revenue,Chapman University,81,4,Private (FASB)
Tuition % of core revenue,University of La Verne,73,11,Private (FASB)
Tuition % of core revenue,Loyola Marymount University,82,2,Private (FASB)
Tuition % of core revenue,University of San Diego,67,15,Private (FASB)
Tuition % of core revenue,University of San Francisco,78,5,Private (FASB)
Tuition % of core revenue,University of Denver,67,15,Private (FASB)
Tuition % of core revenue,Georgetown University,48,24,Private (FASB)
Tuition % of core revenue,Mercer University,53,22,Private (FASB)
Tuition % of core revenue,DePaul University,74,10,Private (FASB)
Tuition % of core revenue,Loyola University Chicago,64,18,Private (FASB)
Tuition % of core revenue,Butler University,77,7,Private (FASB)
Tuition % of core revenue,Suffolk University,68,13,Private (FASB)
Tuition % of core revenue,Saint Louis University,29,25,Private (FASB)
Tuition % of core revenue,Creighton University,49,23,Private (FASB)
Tuition % of core revenue,Seton Hall University,75,9,Private (FASB)
Tuition % of core revenue,Adelphi University,82,2,Private (FASB)
Tuition % of core revenue,Hofstra University,64,18,Private (FASB)
Tuition % of core revenue,Pace University,78,5,Private (FASB)
Tuition % of core revenue,St. John's University-New York,87,1,Private (FASB)
Tuition % of core revenue,Syracuse University,60,20,Private (FASB)
Tuition % of core revenue,Duquesne University,65,17,Private (FASB)
Tuition % of core revenue,Villanova University,68,13,Private (FASB)
Tuition % of core revenue,Providence College,69,12,Private (FASB)
Tuition % of core revenue,Seattle University,76,8,Private (FASB)
Tuition % of core revenue,Marquette University,56,21,Private (FASB)
Gov grants % of core revenue,Chapman University,3,18,Private (FASB)
Gov grants % of core revenue,University of La Verne,12,2,Private (FASB)
Gov grants % of core revenue,Loyola Marymount University,3,18,Private (FASB)
Gov grants % of core revenue,University of San Diego,6,8,Private (FASB)
Gov grants % of core revenue,University of San Francisco,2,23,Private (FASB)
Gov grants % of core revenue,University of Denver,8,4,Private (FASB)
Gov grants % of core revenue,Georgetown University,12,2,Private (FASB)
Gov grants % of core revenue,Mercer University,14,1,Private (FASB)
Gov grants % of core revenue,DePaul University,2,23,Private (FASB)
Gov grants % of core revenue,Loyola University Chicago,6,8,Private (FASB)
Gov grants % of core revenue,Butler University,3,18,Private (FASB)
Gov grants % of core revenue,Suffolk University,4,11,Private (FASB)
Gov grants % of core revenue,Saint Louis University,5,10,Private (FASB)
Gov grants % of core revenue,Creighton University,4,11,Private (FASB)
