School,Type,Tuition_pct_rev,GovGrants_pct_rev,PrivateGifts_pct_rev,InvReturn_pct_rev,Other_pct_rev,Instruction_pct_exp,Research_pct_exp,PublicService_pct_exp,AcadSupport_pct_exp,StudServices_pct_exp,InstSupport_pct_exp,Other_pct_exp,Tuition_rev_perFTE,GovGrants_rev_perFTE,PrivateGifts_rev_perFTE,InvReturn_rev_perFTE,Other_rev_perFTE,Instruction_exp_perFTE,Research_exp_perFTE,PublicService_exp_perFTE,AcadSupport_exp_perFTE,StudServices_exp_perFTE,InstSupport_exp_perFTE,Other_exp_perFTE
Chapman University,Private (FASB),81,3,11,3,2,51,7,0,14,11,18,0,36301,1510,4935,1334,708,20788,2924,55,5631,4354,7167,0
University of La Verne,Private (FASB),73,12,2,12,1,41,0,0,14,15,30,0,15730,2516,402,2571,290,8186,0,0,2831,2934,5863,0
Loyola Marymount University,Private (FASB),82,3,12,1,2,40,3,0,16,20,21,0,39730,1375,5979,413,1045,17715,1261,111,7224,8769,9194,0
University of San Diego,Private (FASB),67,6,13,12,3,47,2,3,10,16,22,0,29061,2479,5429,5168,1208,18791,947,1132,3840,6349,8866,0
University of San Francisco,Private (FASB),78,2,13,5,2,49,1,1,9,15,24,0,30590,732,5292,1897,779,19807,487,383,3691,6083,9568,0
University of Denver,Private (FASB),67,8,8,8,9,42,4,4,22,13,15,0,32665,4073,4008,3866,4249,19881,2096,1720,10137,6014,7203,0
University of Connecticut,Public (GASB),,,,,,,,,,,,,,,,,,,,,,,,
Georgetown University,Private (FASB),48,12,23,10,7,39,20,2,13,10,15,1,43654,10738,21033,9371,6532,34853,18098,1370,12072,9449,13133,1258
Mercer University,Private (FASB),53,14,7,14,11,48,17,1,13,12,8,0,19296,5198,2684,5114,4143,13760,4725,327,3588,3507,2397,133
DePaul University,Private (FASB),74,2,5,18,1,53,2,1,13,15,15,0,22227,730,1386,5569,281,13968,642,280,3522,4040,4109,0
Loyola University Chicago,Private (FASB),64,6,7,13,10,38,7,1,20,12,22,0,26059,2508,2822,5216,3888,13165,2310,302,7058,4054,7713,100
Butler University,Private (FASB),77,3,9,6,4,44,1,0,10,23,22,1,21822,778,2659,1742,1215,14610,232,8,3202,7518,7215,378
Suffolk University,Private (FASB),68,4,4,9,14,32,1,2,16,15,23,11,25449,1445,1646,3449,5173,11904,242,734,6003,5516,8457,4247
Saint Louis University,Private (FASB),29,5,7,18,40,46,10,2,12,6,23,0,21104,3946,4939,13146,28731,20795,4765,793,5482,2906,10604,80
Creighton University,Private (FASB),49,4,15,20,11,42,6,2,26,10,12,0,30837,2683,9327,12683,6807,18047,2701,847,11220,4476,5268,157
Seton Hall University,Private (FASB),75,4,7,7,7,39,1,3,16,20,21,1,25614,1308,2559,2500,2289,11854,387,774,4782,6161,6307,192
Adelphi University,Private (FASB),82,3,3,10,3,51,0,5,11,16,17,0,25660,865,810,2977,993,16129,0,1433,3498,4931,5405,0
Hofstra University,Private (FASB),64,7,5,18,6,51,2,3,9,19,17,0,29657,3380,2171,8374,2539,19225,737,1000,3281,6958,6263,0
Pace University,Private (FASB),78,4,9,7,2,44,1,0,19,13,22,0,24167,1146,2882,2331,578,11272,333,0,4887,3432,5604,0
St. John's University-New York,Private (FASB),87,4,7,1,2,49,2,0,15,13,19,1,23073,973,1916,291,402,12822,481,0,3927,3457,5067,318
Syracuse University,Private (FASB),60,7,10,15,9,41,7,0,13,25,13,0,32747,3572,5470,7990,4935,20258,3697,0,6346,12540,6554,0
Duquesne University,Private (FASB),65,4,13,16,3,49,4,1,16,8,22,0,26632,1501,5325,6701,1098,15434,1311,419,5047,2523,6894,61
Villanova University,Private (FASB),68,3,17,6,7,43,3,0,15,19,20,0,35036,1309,8776,3024,3429,20054,1506,0,7280,8890,9330,0
Providence College,Private (FASB),69,4,18,5,5,43,2,0,13,10,32,0,34150,1809,8919,2450,2433,16512,815,0,5143,3721,12111,0
Seattle University,Private (FASB),76,2,9,11,2,48,2,1,9,19,22,0,28951,740,3464,4150,720,17945,640,322,3348,7193,8210,0
Marquette University,Private (FASB),56,8,16,10,10,38,14,1,14,19,14,0,22872,3149,6673,3888,3905,14409,5092,511,5152,7112,5273,0
